,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85
TT>AA,0.0067211925411925,0.000422012188134,0.0065126050420168,0.0088792630211692,0.0063087382523495,0.0004542489056878,0.0003562311690925,0.0032391463553695,0.015401294324775,0.0166974369434292,0.0114995354187691,0.0259978421790991,0.0020401584183011,0.0030599571605997,0.0001862649033378,0.0037504913143621,0.000295986964734,0.0002000877865154,0.001090233418975,0.0122961844939515,0.0001190150268372,0.0011899183953964,0.010807100264874,0.0004937596871602,0.0120054939541433,0.0002569879369862,0.0718330144534427,7.77486552250628e-18,0.0041215167181522,0.0217966215236638,0.0011301526836275,0.0527778913413171,0.0001879772547521,0.0007641119653262,0.0002819499820731,0.0066964776527546,0.0005119488563092,0.0041017924833152,0.271885516349973,0.0042985140037089,0.002459392530045,0.0024505097060188,0.0024390219521971,0.0066908698130757,0.0071309484161393,0.0806073836363411,0.0085018483018208,7.63162744455255e-05,0.0069617632405847,0.0004069167041506,0.0045,0.155972099710804,2.3512862476289e-05,0.0004202782241844,0.0016900038870089,0.0200948557169365,0.0010497428130108,0.0031020222082775,0.0015502565674617,0.003610691230519,0.0094181172995155,0.0030215530782822,0.0118948721206288,0.0020889568793822,0.0011304973046338,0.0065699074859737,0.0601799018092407
TT>AC,2.23039573911599e-16,0.0001920055453121,0.0105042016806723,0.0043096422996891,0.0041391721655668,0.0001140625005471,0.0003892525976882,0.0022394098259344,0.0342028744095653,0.0012298112239771,0.0194992122318258,0.0018498464627435,0.0003600279561707,0.0006649906901303,0.0002022876907217,0.0064508450607029,0.0002319897831699,0.0017307593533586,0.0001570336208982,0.0046685513485165,0.0057007197728785,0.0002419834047781,0.0027317947891764,0.0004747689299617,0.0003181455897847,0.0007949626844515,0.0236108515473711,5.2733000390744e-18,0.0032712038029995,0.0034094715319125,0.0012601702490006,4.70802780715158e-05,0.001249848768299,0.0019302828443451,0.0002409572541831,0.0037480285369895,0.0024497552694485,0.0002170948704583,2.2190656113858098e-16,0.0052981684231761,0.0010197481222138,0.0011302350888984,0.0009276280211635,0.0036904797623691,0.0103013700822209,0.014301309999996,0.002260491430837,0.0009382000711651,2.07052441207047e-05,0.0002619463795761,0.0043,1.22978001695057e-05,7.64418167314248e-06,5.70377589964557e-05,0.0006640015272035,0.0025793396890396,0.0004688851231448,0.0035623222778929,0.0001790296294036,6.95133076235658e-05,0.000804839111052,0.0092347466597831,0.0008976130390188,0.0018590716725603,2.23098140648973e-16,0.0008645071319965,0.0077948952320311
TT>AG,2.80049689216357e-05,5.010144697989e-05,0.0067126850740296,0.0095392082457156,0.0047890421915616,2.95161733872075e-05,2.23144805358541e-16,0.0016995521000395,0.0122010253741724,0.0055991405319283,0.012899478861054,0.0166986140150368,0.0006930538156287,7.05990116138372e-05,0.0002012862665102,0.0027703629175422,0.0001879917208446,0.00035715669893,0.0001490319077314,0.0051783931446072,0.0018302310849767,2.22984707708745e-16,0.0017911768031596,0.000372818549212,0.0001760805779941,9.8495376627021e-05,0.0732336581893037,0.0001851158457739,0.0019907325895929,0.010198419245017,0.0002780375628747,0.0,0.0003209611636991,0.0009241354135621,0.0001899662999783,0.0032682808842548,0.001759824193563,0.0006602885460946,0.0077667296398503,0.0013795230988647,0.0008717846691867,0.0012802662953894,0.0008036777252321,0.005460709892286,0.0050206677488105,0.0092908510419554,0.0053311589939652,5.14109633879425e-05,5.02127176260567e-06,0.0006538661535983,0.0005,0.0004519191607005,8.32455386394573e-06,7.53498816216335e-05,7.54001734203989e-05,0.0040289685840424,0.000777809436688,0.0016010437204013,0.0003290544585128,0.0094818151981496,0.0063587288773799,0.0044022627630602,0.0008286427721009,0.0004527739073493,4.24186599260828e-05,0.0007840323069968,0.0067334000830269
TT>AT,0.0022503992883457,0.0002050059207759,0.0130052020808323,0.0056195335787129,0.00874825034993,0.0004262335546762,0.0007985181824041,2.2194150953457698e-16,0.279023449130665,0.0272958100931507,0.0378984689018564,0.0169985891171033,0.0052904108003986,0.0015199787202979,0.0006749599185467,0.005250687840107,6.19972696402449e-05,0.0018207988572906,0.000475101719278,0.0071577789411945,0.0019802500263683,0.0013099101663607,0.0071046677667227,0.0006726726102405,0.0067130720360251,7.6396413952329e-05,0.0301138403210115,7.32458373548854e-18,0.0021908062166877,0.0144977528483085,0.0013101770049133,0.0019291918615292,0.0057193079637363,0.001200175861769,0.000700875664657,0.0088753315755912,0.000710928978195,0.0027211891596627,0.0459806387944808,0.0054081304093175,0.0026993332646836,0.0019504056843823,0.0024989979018413,0.0107013911808535,0.0210027933715184,0.0535049010489361,0.003520765414401,8.771870601405749e-18,0.0139035214143862,0.0013897155252319,0.0034,0.0043492220111666,0.0004262331665914,0.0003312192671548,0.0029500067850156,0.0063783671380126,0.0013396717804138,0.0050833138122742,7.451233179090249e-18,0.0021004021008559,0.0007438513026369,0.0289148622391909,0.0145937086522,0.0029885076886856,0.000530233249076,0.0070599555569717,0.0627982795182512
AT>CA,0.0010901934330208,6.1701782009166e-05,0.0165066026410564,0.007949340204763,0.0461907618476305,0.0022112116334145,0.0004903181821779,0.0010197312600237,0.0002880242055542,0.0043593308427156,0.0097696053079455,0.0202983152398351,0.0007450578537423,0.0093498691018325,0.0011416236011027,0.0736096428632151,0.0019099158873043,0.0126055305504737,0.0038908330273511,0.241924930694006,9.65121856285574e-05,9.72933276235914e-05,0.0020213280125042,0.0025887400602126,0.0107048987757778,0.0166992161387944,0.0250114952832321,0.0008865548073282,0.0064023560670326,0.0206967919972404,0.0848114580279796,0.0050478854407888,0.0005489335790369,0.0019602872408894,0.0006108916278252,0.0203892752412231,0.0009359065029403,0.0125054648881561,0.0046180554615326,0.002039295015713,0.0052487035702181,0.073315249571911,0.0027888816584549,0.0112014561893046,0.0187024874308283,0.0144013191608351,0.0116025223883672,8.88189406390913e-06,0.0193048894458744,0.0013697196183941,0.0185,0.0028294938601383,0.0011006020733582,0.0006134060748215,0.0026300060490139,0.0025893371296948,0.0037490814750386,0.0113073712753344,0.0292048333999242,0.0043508329232016,0.0124975017244103,0.0266136794312276,0.0804653114042536,0.0099450339472984,0.0012905677194492,0.0,0.0295670205751183
AT>CC,0.0030405394829204,2.15006209594339e-05,0.0077631052420968,0.0007149406599252,0.0133973205358928,0.0011306195229676,0.000227147402764,0.0004558798574223,0.0005330447970847,0.0039293968375854,0.0050097976041767,0.0104991285723285,0.0036202811148285,0.0005099928600999,0.000939335910381,0.0403052799916789,0.0001419937465954,0.0063027652752368,0.0019604197258633,0.0128959983717053,0.0127016037044837,0.0002519827190251,0.0020913740327395,0.0005937110408364,0.0045520831242793,0.0099995306220325,0.000899413370385,0.0001781114624203,0.002180802535333,0.0094985277282021,0.0261035265864418,0.0018492253594969,0.0004409466454558,0.0022903356028758,0.000457918765211,0.007396109646326,0.0007009299770952,0.0037516394664468,0.0012294822982002,0.0008207162783825,0.0016895826730797,0.0384079888616832,0.0016393426236079,0.0056407332953283,0.0073409763498545,0.0057905304125857,0.0035107632399283,0.0313066761486887,0.0032408208188929,0.0004179144529114,0.0478,0.0056689859317965,0.0001891034471497,8.14539224966928e-05,0.009280021344049,0.0192950604645211,0.0018795395128193,0.003702413603428,0.0077512828373086,3.36064336136951e-06,0.0061587688497893,0.0096649677934458,0.0049278755928319,0.0026086973469797,0.0002771219056491,0.0003231334509987,0.0204104863070816
AT>CG,0.0001060188109176,1.32003812402106e-05,0.0123049219687875,0.0049995850344421,0.0381923615276945,0.0042423245817545,0.0001871214287087,0.0014996047941525,0.0010700899303577,0.0091885895515038,0.006979718019392,0.0142988131985045,0.0021401661839041,0.000530992566104,0.0003204557476779,0.070509236710009,0.00042798115171,0.0124054427639582,0.0002400513950036,0.0638801779807726,0.0003760474797547,2.22984707708745e-16,0.0020813674584201,0.0023088762699194,0.0186085156289221,0.0038798178813486,0.0077535635378019,0.0004702943108851,0.0017606479184339,0.0198969159780234,0.0785106067829764,0.0056876174570472,0.0004049510009288,0.002750403016554,0.0002769508689158,0.008115731125428,0.0010898911198771,0.0734320898232528,1.94917925324429e-05,0.0009196820659098,0.0038390517542167,0.0168034951269864,0.0021691301787983,0.0096412533629371,0.015502061774216,0.0080407365314662,0.0085618613486572,0.0005861249911543,0.0272068908252738,0.0020695763577195,0.0329,0.0020896262076639,0.0002851559917337,0.0002001324877068,0.0011300025990059,0.0039489890588009,0.0026193582572269,0.0082553816833193,0.202033436533722,0.0040207697359242,0.0095480913174494,0.0103052969226182,0.0067470913289281,0.0035182431652754,3.52154912593895e-06,1.1504800999954e-05,0.0050709404320202
AT>CT,0.0057410186289353,0.0001550044766842,0.0173069227691076,0.0015598705307459,0.0382923415316937,0.0005022752217077,0.0006153993511009,0.0021494335382853,0.0026502227247177,0.0509921727014903,0.0148993980643182,0.0289975931997644,0.0033602609242607,0.0001499979000293,0.0011916948116774,0.0638083588950152,0.0009589577674999,0.0059726204274863,0.0009291989414933,0.135957812290846,0.0077909836896006,0.0005439626950383,0.0042427875113949,0.0017391535539652,0.0001030471564397,0.0255987983924034,0.0007553471575536,0.0002611634364702,0.0024408982505562,0.0144977528483085,0.0372050263990665,0.0025889155032956,0.0005949280137103,0.0011501685341953,0.0005449033341485,0.0084655471222137,0.0006099390670871,0.0092140265295934,0.0023390151038931,0.0020292984715184,0.0051187356722889,0.048009986077104,0.0034886010709705,0.0136017682298699,0.0194025805432122,0.0177016214685265,0.0027005871076372,0.0088018770002703,0.0002670676415569,0.0014597011991645,0.0306,0.00129976749759,0.0011106075467523,0.0004823192953735,0.004920011316026,0.0018695214025209,0.0049187948952506,0.0071846836953009,0.0078312960795002,0.0137026232293935,0.012397521710615,0.0179092053315404,0.0081564837398597,0.0107946097116405,3.63159753612454e-05,0.0093821600519624,0.0592340799502369
CT>CA,2.23039573911599e-16,0.0003020087223139,0.0088335334133653,0.005179570095682,0.0132973405318936,0.0016609100956869,0.000451292857474,0.0015295968900356,0.0075706362362692,0.0101984345402981,0.0023899034479007,0.0136988629943715,0.0001220094740356,0.0013199815202587,0.0003284671413699,0.0454059481792115,4.73979125959292e-05,0.0031613870269442,0.0007501606093864,0.0106966808199416,0.011101401662974,0.0006469556317827,0.000386253768726,0.0004517801186162,0.0117053566052897,0.0114994602153375,0.0067430991283593,6.86429568653708e-18,0.0022708356675256,0.0090286005669121,0.0520070261492328,0.0048979482494782,0.0013198402993237,0.0011801729307395,0.0012697747419607,0.0081457153537239,0.0005929407652175,0.0151066015848926,0.0005937499879113,0.0013295403778913,0.0014996295914909,0.05001040216365,0.0019492183634362,0.0073409543240621,0.0109014498928357,0.0103009435664307,0.0035407697633465,0.0027205801637199,0.0146036987518014,0.0011097728295018,0.0223,0.0019096584003053,0.0001450793642154,0.0001210801550626,0.0008390019297044,0.0041789301938703,0.0023894145934246,0.0101065884850334,0.0114018870122992,0.0041808003721799,0.003369326464901,0.0120061711719824,0.0039183108162071,0.0021989019782971,0.0008793868413921,0.0022696659909909,0.0071840338930287
CT>CC,0.0025004436537174,2.85008231322728e-05,0.0145058023209284,0.0023598041362566,0.0103979204159168,0.0010305646979262,0.0002591681820083,0.0008397786847254,0.0035803008884866,8.88863559443625e-05,0.0069997172114246,0.015298730205393,4.12031994284354e-05,0.0001239982640243,0.0007140154627949,0.0497065115530134,0.0001219946273566,0.0053423438999626,0.0021504604135745,0.0031690166541322,0.173021845738243,0.0064595570035806,0.0024616172825546,8.1360401892399e-05,0.0048322113165426,0.0028198676354131,0.0013406161471812,4.4727990843762e-18,0.0022408246234614,0.0107983262594298,0.0312042156895397,0.0057176048953093,0.0026196830183547,0.0018402696547125,0.0013797552314219,0.0099047900804177,0.0009269074019505,0.0301131594506799,4.03829958108049e-05,0.0020193019273237,0.0018795357546686,0.0218045353433514,0.0023190700529087,0.0079110284336963,0.0098713128846136,0.0052504809440544,0.0031306806099646,0.105022396025953,0.0032008106853263,0.0028694126312343,0.0834,0.0062788768345118,0.0004502463027374,0.0001781179140591,0.0177000407100936,0.071081803058417,0.0013096791286134,0.0040726549637708,0.0170028139657093,0.0049809535534583,0.0026394723641954,0.0045623450453533,0.0094959063147877,0.0057271401525648,0.0027912278583436,3.24724899998701e-06,0.0062090660760248
CT>CG,0.0003600638861353,2.23006440649012e-16,0.0101040416166467,0.0054995435378863,0.0207958408318336,0.0053229166922014,0.0001040675325438,0.0007298076664875,0.0021701823821273,0.0009348564995273,0.0012599490980564,0.0153987219060818,0.0010500815388314,2.52996458049587e-05,0.0001311865717056,0.0374049000419055,2.21990223550554e-16,0.0044719620286204,0.0013902976627295,0.0096070189420222,0.0873110238898763,0.0039197311848353,0.0016210650397311,0.0004977577413073,0.0261119493502616,0.0143993240957269,0.0020309334169984,0.000389243589222,0.0042215535316996,0.0133979233218851,0.0787106338066273,0.0056576300187851,0.0024896987464516,0.003910573016264,0.0012697747419607,0.0044576552733262,0.0018398162023613,0.0400174876420996,0.0008106586535287,0.0015594608943688,0.0018495431628387,0.0099520700305663,0.0025389818682708,0.00777101023133,0.0105013966857592,0.0055705102587397,0.003560774112292,0.0092519729832386,0.0338085628637593,0.0015596807333538,0.0504,0.0030994455711762,3.21175695952714e-05,0.0001080715433617,0.0024200055660128,0.0029292501119713,0.0012296987238126,0.0084955382413795,0.19303194678717,0.0009491817112915,0.0004809038663553,0.0083042683939544,0.005927444678599,0.0016391814747305,0.0005802552537058,0.0036283147549854,0.0008399519050033
CT>CT,4.26075598593457e-05,0.0001860053720211,0.0158063225290116,0.0025597875376343,0.0148970205958808,0.0012706962780255,0.0018211818195181,0.0057284903136627,0.0431036224284288,0.0396939069852777,0.0064597390265433,0.0328972695266293,2.44018948071317e-06,0.0008149885901597,8.46203458712131e-05,0.0459060136877931,0.0001119950677372,0.0020609042011091,0.0017503747552351,0.0154951918419714,0.426053793551973,0.0182987450720629,0.0025616830257479,0.0003908097928738,0.0069031590236323,0.0216989814498107,0.0005362464588724,4.71294937078566e-05,0.00363133633177,0.0089586114152306,0.0555074990631234,0.0038983669740745,0.0003669555983725,0.001780260861624,0.0040992727890072,0.0137927450161215,0.0010898911198771,0.0030713421765311,0.0015893307757222,0.0031789010539056,0.0021594666117469,0.0504104853809592,0.004268288416345,0.0085911168451898,0.0136018090406024,0.0078707209580397,0.0032407045291646,0.0094520156423357,0.0077119532449581,0.0006018767958198,0.0958,0.0054490252783582,6.77370548785007e-05,9.74645215132418e-05,0.0013800031740073,0.0066383005950476,0.0023394268404241,0.0054235356028595,0.0269044526869165,0.000684130969993,0.0002059588284182,0.0243124966232644,0.028187848218633,0.0121939109705569,0.0021009241944522,0.0009185818009963,0.0169131400390677
GT>CA,0.0010501863345613,2.23006440649012e-16,0.0099839935974389,0.0028997593199764,0.0140971805638872,0.0025714090035635,0.0001010655844897,0.0002659299168297,2.22018658448056e-16,0.0007998772188469,0.0025998949642434,0.0095192099055778,0.0022001708432659,0.0146997942028811,0.0008101521870983,0.071109315320307,0.0002869873610766,0.0110048282583501,0.0129027624814473,0.0020593609802878,0.000123015531941,5.94959197698221e-05,0.0007084654618084,0.0009535359140706,0.0027612636094529,0.222989532871327,0.0007213315239684,0.0002181365101552,0.0037013621012532,0.0174972879203723,0.0835112823742488,0.0047779984964298,0.0004909405961878,0.0010801582755921,0.0009348341604199,0.0045276184726833,0.0091390870052081,0.0122053337308404,0.0001089541223608,0.0005648047469989,0.0023394221627258,0.0307063869284811,0.0016993185732521,0.0074709712262594,0.006010799436325,0.0060605551468514,0.005821265543129,7.501599716139469e-18,0.0270068401574409,0.0006538661535983,0.0221,0.0004169254203808,0.0001570859322883,6.5943654699411e-05,0.0013800031740073,0.0011796979973126,0.0024194072452249,0.0056136595446571,0.0114018870122992,0.0026104997539209,0.0007298541007055,0.003861985060321,0.0021790606069723,0.0007096456384504,0.0007613349104657,0.0,0.0215907069560864
GT>CC,0.0019003371768252,2.74007913622552e-05,0.0056422569027611,0.0011799020681283,0.0079384123175364,0.0011106085579593,7.41481169375241e-05,2.2194150953457698e-16,0.0004230355519077,0.002319643934656,0.002619894156276,0.0097791883273688,0.0062804876798683,0.0053299253810446,0.0008612248218845,0.0304039829217627,0.0001819919850729,0.0065428706190554,0.0116024840918441,0.0011896308575449,0.0149018815115596,0.0014998971370543,0.002261485796168,0.0003708195221385,0.0022610346946969,0.0662968880240761,0.0012405701660483,0.0004182617488298,0.0036513436944795,0.0040493723472861,0.024803350932711,0.0019591792997913,0.0005869289815932,0.0035905261197923,0.0005549015604631,0.0065665459968056,0.007669233843539,0.0079434712969567,0.0006457281013311,0.0020292984715184,0.0013996542853915,0.0182037863875686,0.0021591341871909,0.0068908958164561,0.0045806092210264,0.0037403426153835,0.0033107197504737,0.0219046711711272,0.0011602938734307,0.0005698833448793,0.0576,0.0010898050556716,0.0001290706067847,0.0001511000282186,0.0053800123740284,0.0022694190287286,0.0020494978730211,0.0066843575326755,0.0044307332863583,0.0031706069808158,2.72945437661121e-05,0.0022911776653199,0.0007796638868983,0.0031784128595385,0.0006352794587986,0.0008659450659965,0.0116061349840464
GT>CG,0.0011702076299397,0.0001070030903562,0.0109043617446979,0.0023698033063255,0.01499700059988,0.0024513432135138,7.25470779753104e-05,0.0005288606240711,0.0002320194989186,0.0025696055655456,0.0028098864805861,0.0063094763134659,2.23017317294687e-16,0.0013799806802704,0.0005617989826479,0.0415054372122748,0.0001949914125781,0.0110048282583501,0.0059512741677993,0.0042786723279766,0.0035704508051186,0.0010099307389499,0.0039826165790924,0.0009525364005338,0.0040618587878184,0.116994508277781,0.0005812671503823,4.6829305849844796e-18,0.0026709829217151,0.0133979233218851,0.0712096204197187,0.0012294849687465,0.0007309115597012,0.0029904381889078,0.000500911138364,0.0051273030386017,0.0096190390579981,0.207090498547865,0.0004398148058602,0.0001909339941182,0.0018395456322288,0.0098320450653736,0.0018692504305773,0.0057407462970186,0.0056507515499561,0.0035103215454535,0.0032106980057464,0.0012002559545823,0.0173043827675454,0.0009068143750974,0.0353,0.0030994455711762,4.67255607507531e-05,6.53432572362904e-05,0.0037100085330196,0.0045588329387676,0.0009137761248494,0.0025616699526421,0.121020028814754,0.0060111507743543,0.0016496702276221,0.0047224273276464,0.0110952168520151,0.0009855078866368,0.0005002200462981,0.0001979070409992,0.0064626879550258
GT>CT,7.13126530040223e-05,1.25003610229267e-05,0.0102040816326531,0.0007549373402007,0.0136972605478904,0.0009064967148749,0.000811526623972,0.0068481952266299,0.0070705942127376,0.317951194491645,0.0062897458942658,0.0098591816879199,0.0052904108003986,0.0114998390022539,0.0002373375381239,0.0463060660946584,2.21990223550554e-16,0.0112049160448655,0.0058612548946729,0.0023992555110149,0.0052406616859444,0.0014698991943132,0.0031520709105882,0.0023588519467575,0.000928424865787,0.132993757273033,0.0008343834826486,0.0007995003285048,0.0039914688605406,0.0141977993411021,0.0552074585276471,0.003748429782764,0.0008508970414579,0.0015502271547849,0.000444921071002,0.0046875343569282,0.0128987114187293,0.0097142451251196,2.2190656113858098e-16,0.0004208545105956,0.0026493456116339,0.04000832173092,0.0030487774402464,0.0075109764269355,0.0073109723593237,0.0038903563566422,0.0023905196989825,0.0005181104870613,0.0111028120647257,0.0013897155252319,0.0607,0.0031894294748555,0.0001100602073358,0.0001751159267435,0.0011700026910061,0.0040089737027321,0.003109238236632,0.0069945597535033,0.0054108955032051,0.0126024126051357,0.0025794843559182,0.0053627564568188,0.0020191295532495,0.0011894060700789,0.000696306304447,0.0036624731979853,0.0540890011272164
TT>CA,0.0002550452526791,2.23006440649012e-16,0.0152060824329732,0.0024097999866011,0.017996400719856,0.0014808114106124,0.0021513961054747,0.0059984191766101,0.0302025382213121,0.081187537712961,0.0020799159713947,0.013998838096438,0.0007300566889018,0.0088598759617365,0.0001131609358987,0.0861112805777557,2.20990267588615e-05,0.0062727521072595,0.0034207323788023,0.0129959673513309,0.0020902639167221,0.001059927310185,0.001801183377479,0.0012393967855844,0.0138063180472648,0.0841960478375144,0.0046321289264545,7.77486552250628e-18,0.0014605374777918,0.0144977528483085,0.0423057155021643,0.0017192797936944,0.0013098415091773,0.0025903795683181,0.000543903511517,0.0045875869292752,0.0008969103986511,0.0110048091015774,0.0013994107459189,0.0003678728263639,0.0029692665911519,0.0477099236641221,0.0021091542291541,0.005940772300399,0.0102013567804518,0.0636058262936885,0.0068214829904021,0.0001370292214814,0.0199050414493731,0.0012797380376237,0.0093,0.0013697549782294,0.000605331140347,0.0001731146018664,0.0010900025070057,0.0044588585322157,0.0027693215162285,0.0071146380325334,0.0047307829445767,0.0048809344057985,0.0005678864783572,0.0049025198952261,0.0033085736738891,0.0020489768434132,0.0002401056222231,0.0004329394429982,0.0129635492170519
TT>CC,0.0033906015944408,4.35012563597848e-05,0.0089935974389755,0.0005029582544648,0.0097080583883223,0.001090597592951,0.0005963870134246,0.0017295441959226,0.0209017565836233,0.0142978052868885,0.0026398933483087,0.0135988712936826,0.005170401481675,8.09988660158755e-05,0.0004676651067675,0.0463060660946584,2.48989034522919e-05,0.0028812641258225,0.0059212677434238,0.0036688615522603,0.0153019320219371,0.0010999245671731,0.0061840629293445,0.0005527309858291,0.0166075999698982,0.0547974278087386,2.22102078115101e-16,0.0001901189767408,0.0030011044064215,0.0074088516279976,0.0314042427131906,0.003488538651159,0.0020497519800104,0.0015002198272112,0.000285949272599,0.0102945850482646,0.0012198781341744,0.0125054648881561,0.0062373736103817,0.000821715932802,0.0022794369790661,0.0451093827516123,0.002189122162013,0.0064408373088501,0.0075510042835697,0.0268024551048876,0.0030306588652373,0.0359076573079209,0.010502660061227,0.0010997748760828,0.0543,0.0174968701598658,0.0004042211251242,8.4756108543856e-05,0.0290000667001534,0.0039289941774905,0.0021794660308224,0.0050332811960116,0.0081913556693623,0.0009801876470661,0.0013197361820977,0.0267137308576608,0.0195915540810357,0.0022388820142661,0.0010904797009299,0.0005384646729978,0.0233244480280933
TT>CG,0.0004160738239785,0.0001170033791745,0.0069327731092437,0.0017398555919858,0.0126974605078984,0.0021311677733814,0.0003192071430913,0.0038089961771474,0.0129010842071167,0.0227965007371368,2.21991031562325e-16,0.0093092273341312,0.0003630281891388,0.0006679906481309,0.0001552207527815,0.0400052406865299,9.97956050015555e-05,0.004311891799408,0.0013202826725201,0.0072277572269324,0.0023502967484674,0.0012099170238905,0.0032621432281008,0.0010794746197025,0.0120054939541433,0.0275987045168099,0.0012205609698217,0.0003021891103985,0.0020307473150119,0.004889242167464,0.0303040940831106,0.0011495184667142,0.0014098294106413,0.0003790555430087,0.0002029639941874,0.0040078918488874,0.0016898311858645,0.320139901136797,0.0010995370146506,0.0004378486357266,0.0013796592241716,0.01000208043273,0.0019192303886141,0.0049806474841729,0.006010799436325,0.0205018779720222,0.003410741495201,2.78059296144903e-05,0.0191048387780415,0.0012397462239479,0.0237,0.0015797174201478,0.0002971625598067,6.31417998715149e-05,0.0010200023460054,0.0024693678418324,0.001069737914211,0.0047230789751839,0.0884146326216884,0.0041607965426479,0.0018496302552127,0.0029615222224223,0.0021590692252569,0.001349326213955,0.0001090479700929,2.23651529999105e-05,0.0038235345420152
