,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0770805329703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.5611544709586,0.0,0.0,0.0,0.0,0.0,3438.5524478005877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.5035913466265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.3967131441332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.3303641792686,0.0,2379.9160180624544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS9,0.0,0.0,1814.416304225555,0.0,0.0,0.0,1895.1765001997762,2257.4400733178986,0.0,1484.0093997391527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.3569096792216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.7417129505334,0.0,0.0,1977.1279743017487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3312.4206672429436,0.0,0.0,0.0,0.0,0.0,1216.4733767025375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.649730178947,0.0,0.0,2690.506827900417,2284.838789457829,0.0,0.0,2767.1533707315734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.145392311563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.775944500436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,0.0,3365.224242449646,1551.7477972415963,5372.6372629918815,2202.748125811545,5093.635216376184,2166.166559613152,1628.262979250408,16074.071593487906,2701.319206015852,17259.721056382943,7711.300462645967,5895.4333886715785,1224.0039314715016,1805.8696041066228,1057.5771125703698,3024.04488592379,1172.0638524577828,0.0,15725.886239313277,5699.766490129437,3475.254672384284,6008.905038516272,1827.9826527989435,1685.0351648255669,0.0,997.6086257241562,1949.6379724814033,4170.01842071476,1412.9413104304856,0.0,4718.046584225066,8693.699937190708,4349.779951378308,1904.3125492467834,1132.578607144411,2208.3479947824844,2786.9347309361874,6292.077489187784,1608.1879868495994,1590.6120867203808,1844.2227096996342,1766.745040245441,6146.3205182133515,1696.9868721805017,5998.435509653301,2030.465394513145,2995.8991203823866,2179.5815614940066,4608.079413176892,4221.526012948868,1454.9373558713173,10589.732934018908,1650.6766884854376,0.0,1890.3268280331492,1332.1350651101284,1632.100236221895,10756.653916643278,17479.375116401803,3573.126099385963,1211.6915053176278,9626.055352072035,1423.0253202235886,4862.367221015928,5825.142924758521,6691.314393302681,1405.5250156537397,0.0,1648.7675824531243,1754.1280741621351,2250.6040457491335,1803.2978371152924,6280.236997426593,9333.986069702734,7204.012244846816,2454.385977301074,15231.073793352454,887.2287361383827,12458.197387956761,5673.083733685798,6536.231970702507,2109.0269452368243,2999.2984798454722,1380.456885869721,9301.308638653758,5991.928464320437,618.7748432647345,4600.631359171272,1945.0875968522876,3147.4913034329493,7037.340632531893,5682.102015098049,4804.203503095485,9836.190614020376,4478.355148778763,5251.621284803912,2509.292604807059,1034.3106581994555,2961.2156090296808
SBS14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS16,2238.698206701054,0.0,0.0,0.0,0.0,2688.8410160541557,0.0,0.0,0.0,0.0,2563.9412429664694,2929.446522783112,0.0,0.0,0.0,0.0,2209.903241735601,0.0,2029.14577935741,0.0,0.0,0.0,0.0,0.0,2658.0112748643946,0.0,2321.3031009253946,0.0,2501.1315592378,0.0,0.0,2358.231287550195,0.0,2312.8010832628775,0.0,0.0,0.0,0.0,0.0,4080.714802567458,2777.0604582183137,0.0,0.0,0.0,2550.0324648651062,0.0,0.0,0.0,2965.3988116272285,0.0,0.0,0.0,0.0,2606.1834093606126,0.0,0.0,3762.577740431643,0.0,0.0,0.0,0.0,2836.2501430839275,3648.941781011498,0.0,2767.2202371628373,3006.581904841345,0.0,0.0,0.0,2460.120517005725,0.0,0.0,3271.0864212018096,0.0,0.0,0.0,0.0,0.0,3465.948060016881,2912.3297092175603,2892.162661246077,0.0,2962.282739326471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.774132727505,0.0,3065.426089454438,2291.2258674650693
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.96407019627105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,650.4785179398308,0.0,0.0,0.0,345.0463126462111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.383639800922,0.0,0.0,0.0,0.0,873.2664225811093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.70104907203006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.297953674694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.2830563218263,0.0,0.0,0.0,0.0,1147.68685513486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.37135470544274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,5137.7735194978995,0.0,0.0,0.0,12200.932776560952,3340.59390234182,13474.45956971696,0.0,0.0,7276.192611836019,0.0,0.0,8523.170530142548,9898.793509528861,0.0,13566.314210616854,0.0,10406.691864366496,0.0,0.0,0.0,6494.791753087303,0.0,0.0,0.0,4329.571682888872,0.0,7932.142960198491,7142.428247186306,10197.213680944988,4505.270207697884,0.0,0.0,0.0,8103.937825561113,10887.261799788026,13516.32566309863,11315.646775095469,0.0,0.0,0.0,10804.077018260276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.516759041427,11109.917094162258,0.0,0.0,0.0,7341.458067090775,0.0,0.0,0.0,0.0,0.0,11347.28916615447,0.0,0.0,0.0,0.0,0.0,0.0,9997.766993665395,4696.791324380456,0.0,0.0,11359.717007544756,0.0,0.0,2374.851577328197,6191.43398649651,13261.992110324669,0.0,10870.723903207809,0.0,0.0,2754.720945184165,0.0,0.0,10035.312097408125,0.0,6866.450721916894,2992.3977132557475,6547.832477948096,0.0,0.0,8783.224190439556,0.0,0.0,0.0,8390.221661269408,0.0,12773.178149290408,0.0,9765.957639811211
SBS19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.8404978083072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.2186308584076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.013553719262,853.7089211878653,0.0,0.0,0.0,0.0,0.0,0.0,718.5576884758109,0.0,788.8631990331694,0.0,0.0,0.0,0.0,782.4395530790813,0.0,0.0,0.0,0.0,674.2080422265651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0767652244988,0.0,0.0,0.0,0.0,0.0,0.0,615.2284103546154,0.0,0.0,2138.086586865857,0.0,0.0,0.0,0.0,0.0,1228.6497442174682,0.0,0.0,0.0,0.0,0.0,0.0,1160.8495802525088,0.0,0.0,0.0,0.0,715.3749800801909,0.0,0.0,0.0,0.0,0.0
