,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
SBS1,3655.162584145848,3252.038807782989,12672.049425322632,5668.192518540136,5323.158152249944,1483.0846654368695,2882.3843799537103,1388.2603184905859,589.9480679221599,5665.205439282613,2564.1316963063728,3367.753701907442,5162.363312005007,8062.439839201974,0.0,5642.290056225582,3090.5344423880406,7782.101509490582,4629.168688824602,1839.8426417533403,5427.76289314151,3911.2625859345676,1066.1053367731936,1101.3021826451031,492.00769124119296,3803.9869791175024,2969.5341434583293,5994.257732951873,5165.304242057426,5969.460062197076,3858.337418827763,5175.319621297147,4185.65427364593,5362.342318404924,6095.600583511486,7112.616540913104,2827.6574303204143,5207.504984504815,4324.607008983137,3618.226328879587,0.0,5732.441401557134,1340.104968881224,4815.205491749516,1504.6365630907214,990.8510003352128,10977.01685006975,5008.442859344068,3182.5431923603182,5713.52175128563,4659.952693497442,6265.14887413836,4030.8476246954483,0.0,6985.351267436491,0.0,5953.938109314001,6563.9793927773635,2737.1175432420123,2721.46365695879,4467.395568199567,6845.503316466572,2664.716503241132,0.0,5491.4918802566945,4677.774759634465,1426.2815967835597,5446.91203943899,3694.784741230567,11332.949688575163,6176.103509092439,7223.251453551812,3250.532289354491,4234.2874586997905,4243.696288611548,3474.208414490894,2751.9981066178066,3529.6044360195892,7543.766359868671,3011.9028185680268,1051.2976328716722,3386.9325376548604,1388.498052443631,6014.272788911442,5776.981764733471,1679.299772763239,5150.511661610602,2101.7348401644304,6705.6558965177655,0.0,6297.507829011231,5383.6244179145215,3684.800102849081,660.6062949964287,2305.3450544937377,7329.906250426681,1663.9945695129002,3161.1848615822823,6306.719328586948,6586.50875159954
SBS2,0.0,3878.210474844325,4449.493111491077,11698.657479730387,2687.717505865201,8140.731415253169,2833.9979580423587,1382.0149496717038,13772.033714357116,2278.6558856922234,15886.319715556132,8182.731578534031,6392.876272974107,2669.38626788546,1110.224821490369,2393.232106439436,3771.6633708117947,3211.3785572436195,0.0,13346.375721539585,11358.628267524513,2371.324835369522,4838.100438595057,1369.8817071514209,1013.6858097888347,0.0,0.0,3798.84398552655,3561.41949894355,2576.876985597969,0.0,4382.885655371089,4821.026222165737,2030.391203798592,3891.504220549211,3149.586249757404,2490.910806639706,2533.2915309772243,6941.571062970872,1387.5260437816405,725.9384227766333,3843.2983011646284,1252.4493348875242,10106.326290412282,1328.5205162889956,4742.773140141825,4391.994723873094,3940.4462195859746,777.1278475101108,4311.076902630954,3433.1440493217706,2088.8239656348414,12017.983301293589,856.108953768531,0.0,818.4594750971982,1933.6082822462529,2590.552992665397,7383.279071451868,16016.799304693199,2815.409450354343,2646.48503845157,13685.640602889325,1219.5456324040822,2405.215242489885,9937.697363204557,3060.190488020681,2498.854577795608,0.0,4288.7283579415025,2442.3543980090826,2775.9995977875315,1341.4673499468338,6710.480914997774,13943.925201638007,7012.9614758574835,2455.6476792590247,12659.347969210967,2993.3231580737724,15062.196160498026,4971.402215908506,3257.1841747839226,0.0,9615.648548283521,2424.495339408581,6228.089626296764,6563.706647861703,947.8970886294326,3549.026266333016,937.3464146749947,9744.652901713658,6679.735595915815,11044.146345721638,4162.681116761715,13707.044125302213,4353.843007980746,7696.049964009576,2731.5249446010234,1851.8602605211158,2270.972318029985
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8126.3475049170265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23140.180357393838,2565.2681915608564,0.0,0.0,0.0,0.0,0.0
SBS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732.476948658757,0.0,0.0,0.0,0.0,0.0,0.0,23685.19311299168,0.0,0.0,0.0,0.0,0.0,1641.572359359685,0.0,0.0,14447.884723451312,17416.06746517758,0.0,0.0,4580.87953013109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17189.288090576163,0.0,13919.397754169448,0.0,9434.01109133689,0.0,0.0,1596.1487090517594,7339.544366792728,0.0,0.0,4452.475007568979,1625.0834679482846,20260.167558889498,0.0,20845.36738363905,0.0,1703.2913215509043,0.0,0.0,0.0,0.0,0.0,19034.03654180061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3940.1394831172406,0.0,2424.2841972128485,2468.846708061199,0.0,0.0,0.0,0.0,0.0,0.0,2462.469595775469,6414.592454933775,0.0,0.0,0.0,0.0,0.0,1377.1009841455093,19829.796158097815,0.0,2236.716411051335,0.0,0.0,0.0,2811.689948227445,0.0,0.0,0.0,0.0
SBS5,11930.044916709938,9723.312104875242,24675.443674351733,8340.93395574108,22271.12689520093,12090.408004053428,20047.706700509454,25900.27041334538,8273.707538195938,26443.00461943341,4492.663618598209,8008.703394541262,19042.90319614584,23534.788121547117,18749.125950415604,24122.465532964026,12968.69893542534,16628.22509747693,7114.614658768072,8292.85951073225,15352.255630347532,28719.31090289347,5256.417562986587,31527.393832676025,15957.15580152322,14416.042766542249,6581.301736313533,26296.23597638943,20210.996448400532,20777.945056627792,8870.381816957171,25137.580424535172,4525.819736521091,10704.828649159805,21835.801669551784,23470.93511540015,23991.262698041377,19079.455682834014,9303.451510988278,11201.171721609735,19520.6746747965,20858.431870007735,32463.32454929777,9374.837905881153,22649.983643573087,7144.458983059442,23225.563618960332,12479.491357961942,12579.56377085492,26757.881000820467,22802.310271250662,11626.519522865749,8763.428542260252,16332.24520177317,12299.344444418646,15273.137508892503,10555.215609237606,19610.98697247526,13526.40171925093,7441.164185543938,19910.42460357547,11557.67569244251,17485.49080523269,21024.18231324161,6559.867243564277,10567.467063075881,10938.192341922406,26440.61721597635,12323.593298831758,24304.331206012906,8317.741899555118,20419.204210462758,12596.984359559872,11056.969247736719,15889.353006428568,15500.595335004837,20160.716118018994,10810.705232654676,20299.57721213747,9775.669400428469,0.0,13014.875736782018,12667.38900524274,21859.183113919076,24392.147635895522,24879.282226567342,17291.128127879245,17366.433275032097,26939.107191935724,22449.491368605934,26742.23188920819,17945.04821531853,12656.766021580206,11818.360060682933,15346.784209452753,21670.007228802624,12469.579502720291,19547.43579009183,6019.209093557318,20591.292049656073
SBS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587.43378494748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185.2288912937743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.5128729859953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7c,0.0,0.0,0.0,0.0,0.0,1066.9358616216593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.1300581602503,0.0,0.0,0.0,2522.476106212792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457.796314045475,0.0,0.0,2066.467955910493,0.0,0.0,0.0,0.0,0.0,0.0,965.3189229041112,0.0,0.0,0.0,967.9922696465587,0.0,0.0,0.0,0.0,0.0,2285.8486426227037,2235.8118183932406,0.0,0.0,969.6031666251592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0168951558273,0.0,0.0,0.0,0.0,2225.825971868754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
