Sample	SBS1	SBS7c	SBS40	SBS9	SBS7d	SBS38	SBS13	SBS7b	SBS7a	SBS17a	SBS17b	SBS5	SBS2
MELA_0254	1405	9102	0	0	21176	0	0	43617	238970	0	0	7890	0
MELA_0255	50	2238	0	0	3638	0	0	15878	67204	0	0	3682	0
MELA_0258	186	404	0	0	222	0	0	5181	19829	0	0	607	0
MELA_0261	138	515	0	0	266	0	0	5471	15095	0	0	3802	0
MELA_0262	165	20570	0	0	18174	0	0	95424	220877	0	0	33666	0
MELA_0263	116	1051	0	0	407	0	0	1504	14064	0	0	2118	0
MELA_0264	38	303	0	0	98	0	0	849	4536	0	0	831	0
SP124389	0	1373	0	0	1430	0	0	13716	52580	0	0	1770	0
SP124362	0	2927	0	0	4039	0	0	37579	170265	0	0	0	0
SP124334	0	2371	0	0	3075	0	0	15104	61216	0	0	5998	0
SP124380	0	6582	0	0	3375	0	0	33159	112716	0	0	7139	0
SP124399	0	6978	0	0	5114	0	0	21737	110546	0	0	0	0
SP124311	0	8465	0	0	6457	0	0	28489	56781	0	0	9187	0
SP124449	0	2410	0	0	4991	0	0	13419	116111	0	0	1056	0
SP124298	0	9633	0	0	9656	0	0	129215	218212	0	0	0	0
SP124431	0	4009	0	0	3689	0	0	30728	49119	0	0	5107	0
SP124409	0	5885	0	0	4553	0	0	13576	221660	0	0	0	0
SP124439	0	17160	0	0	4674	0	0	66646	218753	0	0	12450	0
SP124382	0	27295	0	0	13122	0	0	151742	286802	0	0	0	0
SP124415	0	50825	0	0	9908	0	0	53046	720711	0	0	24688	0
SP124436	0	17092	0	0	15454	0	0	48319	232844	0	0	5106	0
SP124367	0	5336	0	0	2877	0	0	31791	103754	0	0	12209	0
SP124377	0	2582	0	0	1841	0	0	17942	34087	0	0	4567	0
SP124412	0	2073	0	0	2682	0	0	12670	54151	0	0	5712	0
SP124329	0	1992	0	0	2262	0	0	7762	39710	0	0	0	0
SP124401	0	17170	0	0	9660	0	0	130272	270882	0	0	7981	0
SP124418	0	5013	0	0	5017	0	0	14294	79724	0	0	3333	0
SP124319	0	5776	0	0	4653	0	0	23928	170944	0	0	0	0
SP124305	0	862	0	0	1478	0	0	11821	34168	0	0	1553	0
SP124447	0	27495	0	0	13600	0	0	98904	280896	0	0	23196	0
SP124369	0	3074	0	0	4928	0	0	32620	98937	0	0	898	0
SP124420	0	979	0	0	2319	0	0	13535	52941	0	0	1363	0
SP124307	0	3319	0	0	3161	0	0	18645	93890	0	0	2495	0
SP82445	0	55230	0	0	7647	0	0	73820	577976	0	0	29880	0
SP83242	0	2579	0	0	1722	6250	0	19392	41151	0	0	2154	0
SP103894	0	6429	0	0	4890	0	0	36479	104306	0	0	7245	0
SP82614	0	2245	0	0	2683	0	0	15506	35817	0	0	1192	0
SP82431	0	42593	0	0	16509	0	0	92805	201882	0	0	19559	0
SP82459	0	1652	0	0	2693	0	0	16558	57196	0	0	187	0
SP82532	0	6350	0	0	5038	0	0	101077	83264	0	0	17160	0
SP83482	0	2982	0	0	682	0	0	15422	44300	0	0	5297	0
SP82644	0	3174	0	0	7082	0	0	36434	193823	0	0	0	0
SP82900	0	9620	0	0	5184	0	0	26169	224434	0	0	14407	0
SP82417	0	132	0	0	9036	0	0	42393	199184	0	0	0	0
SP104056	0	22790	0	0	28729	0	0	73242	209243	0	0	0	0
ML_102_T_01	0	3270	0	0	4721	0	0	15685	82050	0	0	3893	0
ML_17_T_01	0	4836	0	0	2327	0	0	16820	58960	0	0	8010	0
ML_24_T_01	0	3199	0	0	4606	0	0	23208	77874	0	0	1344	0
ML_33_T_01	0	9757	0	0	7328	0	0	57545	266042	0	0	8449	0
ML_52_T_01	0	2113	0	0	787	0	0	49858	166191	0	0	2720	0
ML_53_T_01	0	373	0	0	461	0	0	2042	21055	0	0	2685	0
ML_66_T_01	0	10939	0	0	5225	0	0	39994	107968	0	0	7102	0
ML_69_T_01	0	510	0	0	1628	0	0	7033	26574	0	0	3258	0
ML_72_T_01	0	5495	0	0	1488	0	0	14621	41847	0	0	13511	0
ML_98_T_01	0	16165	0	0	3587	0	0	22482	21327	0	0	7787	0
