Sample	SBS1	SBS34	SBS3	SBS18	SBS26	SBS40	SBS20	SBS28	SBS6	SBS13	SBS17a	SBS17b	SBS5	SBS2
LP6007533-DNA_A01	884	406	0	1880	0	0	0	0	0	434	451	698	3673	539
SS6003121	1896	0	0	0	0	0	0	0	0	0	4736	23024	15041	0
SS6003129	2806	0	0	0	0	16378	0	0	0	0	3618	7603	500	0
SS6003302	1476	0	0	0	0	9924	0	0	0	0	1592	3594	490	0
SS6003305	1192	0	0	0	0	8946	0	0	0	568	0	0	997	254
SS6003311	1239	0	0	12721	0	0	0	0	0	0	0	0	4660	0
SS6003314	766	0	0	0	0	0	0	0	0	0	3055	6169	8819	0
SS6003317	1219	0	0	0	0	0	0	0	0	0	8030	14268	11773	0
SS6003320	2374	0	0	0	0	10035	0	0	0	0	3346	7190	1414	0
SS6003323	1938	0	0	0	0	9495	0	0	0	0	2299	3196	1055	0
SS6003125	799	0	0	0	0	4951	0	0	0	0	2096	4436	0	0
SS6003131	587	0	0	699	0	1524	0	0	0	0	85	194	910	0
SS6003133	345	0	0	3470	0	0	0	0	0	213	0	0	1339	480
SS6003137	1157	0	0	3165	0	0	0	0	0	0	775	1631	4342	0
SS6003308	768	0	0	930	0	0	0	0	0	135	345	648	2820	368
