Sample	SBS10a	SBS1	SBS29	SBS3	SBS26	SBS19	SBS15	SBS10b	SBS6	SBS30	SBS13	SBS7a	SBS44	SBS5	SBS2
TCGA-AR-A2LE-01A-11D-A17W-09	0	10	0	0	0	0	0	0	0	0	132	0	0	60	196
TCGA-B6-A0I2-01A-11W-A050-09	0	10	0	0	0	0	0	0	0	0	26	0	0	32	11
TCGA-B6-A0IK-01A-12W-A071-09	0	18	0	0	0	0	0	0	0	0	54	0	0	42	88
TCGA-B6-A0RV-01A-11D-A099-09	0	10	0	0	0	0	0	0	0	0	26	0	0	0	31
TCGA-BH-A0AW-01A-11W-A071-09	0	19	0	30	0	0	0	0	0	0	46	0	0	58	55
TCGA-BH-A0BP-01A-11D-A10Y-09	0	29	0	60	0	0	0	0	0	14	31	0	0	45	21
TCGA-BH-A0BZ-01A-31D-A12Q-09	0	16	0	188	0	0	0	0	0	0	23	0	0	55	12
TCGA-BH-A0DX-01A-11D-A10Y-09	0	11	0	0	0	0	0	0	0	0	17	0	0	20	30
TCGA-BH-A0EE-01A-11W-A050-09	0	20	0	0	0	0	0	0	0	0	23	0	0	83	51
TCGA-BH-A0HA-01A-11D-A12Q-09	0	90	0	0	0	0	0	0	0	0	0	0	75	223	0
TCGA-BH-A0HF-01A-11W-A071-09	0	25	0	0	0	504	0	0	0	535	0	0	0	259	129
TCGA-BH-A0HK-01A-11W-A071-09	0	23	0	0	0	0	0	0	0	23	31	0	0	13	52
TCGA-BH-A0HP-01A-12D-A099-09	0	13	0	0	0	0	0	0	0	0	165	0	0	20	162
TCGA-BH-A18G-01A-11D-A12B-09	0	294	0	0	0	0	0	0	0	0	0	0	720	674	0
TCGA-BH-A18P-01A-11D-A12B-09	0	20	0	0	0	0	0	0	0	0	173	0	0	42	203
TCGA-BH-A1EV-01A-11D-A135-09	0	15	0	0	0	0	0	0	0	0	34	0	0	48	33
TCGA-BH-A1F2-01A-31D-A13L-09	0	17	0	0	0	0	0	0	0	0	0	0	0	39	0
TCGA-BH-A1F8-01A-11D-A13L-09	0	11	0	0	0	0	0	0	0	0	51	0	0	52	79
TCGA-BH-A203-01A-12D-A167-09	0	29	0	0	0	0	0	0	0	0	12	0	0	50	13
TCGA-BH-A2L8-01A-11D-A18P-09	0	10	0	0	0	0	0	0	0	0	299	0	0	0	323
TCGA-BH-A5J0-01A-11D-A27P-09	0	12	0	0	0	0	0	0	0	0	15	0	0	38	39
TCGA-C8-A12K-01A-21D-A10Y-09	0	12	0	101	0	0	0	0	0	0	45	0	0	0	17
TCGA-C8-A12P-01A-11D-A10Y-09	0	17	0	0	0	0	0	0	0	0	58	0	0	71	55
TCGA-C8-A12T-01A-11D-A10Y-09	0	13	0	0	0	0	0	0	0	0	99	0	0	21	81
TCGA-C8-A12Z-01A-11D-A10Y-09	0	11	0	0	0	0	0	0	0	0	12	0	0	20	10
TCGA-C8-A1HG-01A-11D-A135-09	0	20	0	0	0	0	0	0	0	0	0	0	0	51	0
TCGA-C8-A1HM-01A-12D-A135-09	0	19	0	0	0	0	0	0	0	0	232	0	0	74	132
TCGA-C8-A26V-01A-11D-A16D-09	0	11	0	0	0	0	0	0	0	0	32	0	0	34	21
TCGA-C8-A274-01A-11D-A16D-09	0	13	0	0	0	0	0	0	0	0	92	0	0	66	118
