Sample	SBS1	SBS34	SBS3	SBS18	SBS31	SBS26	SBS40	SBS20	SBS28	SBS37	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS44	SBS5	SBS2
SP125696	1144	0	0	0	0	0	4600	0	0	0	0	0	481	147	299	0	0	899	747
SP125725	1573	0	0	1136	0	0	0	0	0	0	0	0	333	111	427	0	0	3804	379
SP125752	1069	0	0	933	0	0	0	0	0	0	0	0	0	0	0	0	0	4108	0
SP118048	2820	0	0	0	0	0	9866	0	0	0	0	0	0	2537	4075	0	0	0	0
SP117981	347	0	0	0	0	0	2691	0	0	0	0	0	0	0	0	0	0	1783	239
SP125749	1007	0	1517	666	0	0	0	0	0	0	0	0	83	0	0	0	0	1676	172
SP125762	1032	0	0	1860	0	0	0	0	0	0	0	0	207	0	0	0	0	4226	239
SP117164	1197	0	0	0	0	0	2375	0	0	0	0	0	83	0	0	0	0	954	263
SP117002	1916	0	0	0	0	0	2737	0	0	0	0	0	67	0	0	0	0	2053	405
SP117158	825	0	1459	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1466	158
SP125691	3619	0	0	1964	0	0	0	0	0	0	0	0	0	0	0	0	0	6828	0
SP125721	901	0	0	910	0	0	0	0	0	0	0	0	151	0	0	0	0	2598	184
SP125753	1065	0	0	479	0	0	1338	0	0	0	0	0	27	0	0	0	0	1066	153
SP117972	883	0	0	560	0	0	0	0	0	0	0	0	173	0	0	0	0	2345	211
SP125726	1493	0	0	0	0	0	2386	0	0	0	0	0	0	0	0	0	0	1175	0
SP125800	209	0	333	126	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0
SP117745	1477	0	0	1271	0	0	0	0	0	0	0	0	114	0	0	0	0	2865	248
SP117351	1066	0	0	788	0	0	0	0	0	0	0	0	316	0	0	0	0	2615	184
SP117980	329	0	0	0	0	0	2622	0	0	0	0	0	0	0	0	0	0	2101	203
SP117878	777	0	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	2243	0
SP125805	1307	0	0	841	0	0	0	0	0	0	0	0	102	0	0	0	0	2420	232
SP78013	1006	0	0	907	0	0	0	0	0	0	0	0	146	0	0	0	0	2713	185
SP118083	1104	0	8873	0	0	0	0	0	0	0	0	0	683	0	0	0	0	4678	547
SP125772	396	0	0	0	0	0	1226	0	0	0	0	0	18	0	0	0	0	904	110
SP117216	1254	0	0	1220	0	0	0	0	0	0	0	0	0	41	189	0	0	3958	0
SP125784	1020	0	0	0	0	0	2060	0	0	0	0	0	127	0	0	0	0	667	194
SP117323	1792	0	0	0	0	0	5611	0	0	0	0	0	196	312	898	0	0	1892	802
SP118046	1156	0	0	0	0	0	2190	0	0	0	0	0	32	0	0	0	0	1351	156
SP77888	949	0	0	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	1093	0
SP125766	2415	0	0	0	0	0	3571	0	0	0	0	0	0	0	0	0	0	1180	0
SP125737	1174	0	0	0	0	0	3631	0	0	0	0	0	348	0	0	0	0	1450	341
SP125763	1505	0	2488	1005	0	0	0	0	0	0	0	0	210	0	0	0	0	2959	372
SP125802	1203	0	0	0	0	0	2338	0	0	0	0	0	0	0	0	0	0	523	0
SP117656	874	0	5270	1241	0	0	0	0	0	0	0	0	333	0	0	0	0	1800	228
SP77872	507	0	0	0	0	0	1272	0	0	0	0	0	29	0	0	0	0	418	88
SP117309	1603	0	0	0	0	0	2188	0	0	0	0	0	0	0	0	0	0	1710	370
SP117201	1401	0	0	0	0	0	3449	0	0	0	0	0	232	0	0	0	0	1258	457
SP125685	1300	0	0	0	0	0	3161	0	0	0	0	0	149	0	0	0	0	782	252
