Sample	SBS1	SBS34	SBS3	SBS18	SBS31	SBS26	SBS40	SBS20	SBS28	SBS37	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS44	SBS5	SBS2
SP117974	1967	0	0	941	0	0	0	0	0	0	0	0	0	0	0	0	0	2695	0
SP117911	1677	0	0	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	4746	0
SP117165	1064	0	0	0	0	0	2162	0	0	0	0	0	123	0	0	0	0	1479	276
SP117412	976	0	3585	739	0	0	0	0	0	0	0	0	247	0	0	0	0	1967	283
SP117650	724	0	0	0	0	0	2220	0	0	0	0	322	0	0	0	0	0	523	0
SP117076	329	0	0	0	0	0	1331	0	0	0	0	0	87	0	0	0	0	901	285
SP125757	968	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	2438	134
SP125711	1532	0	0	0	0	0	3740	0	0	0	0	0	63	0	0	0	0	554	209
SP125811	1067	0	0	698	0	0	0	0	0	0	0	0	143	56	135	0	0	2595	122
SP125723	504	0	1373	0	0	0	0	0	0	0	0	0	46	0	0	0	0	1678	160
SP125809	1244	0	0	0	0	0	0	0	828	0	0	0	0	347	722	0	0	4219	0
SP125722	791	0	0	0	0	0	1304	0	0	0	0	0	0	0	0	0	0	642	0
SP117908	1000	0	0	730	0	0	0	0	0	0	0	0	136	0	0	0	0	2631	182
SP125741	1167	0	0	835	0	0	0	0	0	0	0	0	105	0	0	0	0	3272	220
SP125724	1102	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	2620	146
SP117037	958	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	2222	0
SP125777	528	0	4863	1187	0	0	0	0	0	0	0	0	0	0	0	0	0	2218	0
SP117291	1434	0	0	0	0	0	4106	0	0	0	0	0	0	0	0	0	0	1512	189
SP125793	670	0	1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1208	0
SP125744	865	0	0	622	0	0	0	0	0	0	0	0	113	0	0	0	0	1992	176
SP125795	914	0	0	515	0	0	0	0	0	0	0	0	111	0	0	0	0	2359	146
SP125703	1261	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	2967	203
SP125761	594	0	2151	571	0	0	0	0	0	0	0	0	165	0	0	0	0	1306	185
SP117661	1135	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	2786	0
SP125776	1532	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	3789	282
SP117261	1124	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	0
SP125698	793	0	5870	0	0	0	0	0	0	0	0	0	711	0	0	0	0	1837	390
SP125714	1451	0	0	0	0	0	3068	0	0	0	0	0	364	94	326	0	0	1122	722
SP77972	3112	0	0	0	0	0	2565	0	0	0	0	0	0	0	0	0	0	2002	0
SP77866	804	0	0	576	0	0	0	0	0	0	0	0	41	0	0	0	0	1519	149
SP125704	1185	0	1742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1771	0
SP117290	1312	0	0	1267	0	0	0	0	0	0	0	0	0	0	0	0	0	5118	0
SP125738	800	0	0	0	0	0	1349	0	0	0	0	0	22	0	0	0	0	809	531
8015184	131	0	195	150	0	0	0	0	0	0	0	0	0	0	0	0	0	136	27
8034291	1546	565	3907	1783	0	0	0	0	0	0	0	0	0	206	725	0	0	4042	0
PCSI_0145_Pa_P_526	44	0	268	0	0	0	300	0	0	0	0	0	47	0	0	0	0	153	23
PCSI_0295_Pa_P_526	953	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	2555	127
PCSI_0330_Pa_P_526	666	213	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	2024	0
8012341	556	0	0	0	7107	0	0	0	0	0	0	0	0	0	0	0	0	4340	0
8012346	1110	321	3082	0	0	0	0	0	0	0	0	0	98	0	0	0	0	3031	267
8012351	934	0	0	0	0	0	2913	0	0	0	0	0	0	145	571	0	0	763	0
8012352	799	0	0	0	0	0	2555	0	0	0	0	0	0	12	133	0	0	598	0
8012774	806	208	0	816	0	0	0	0	0	0	0	0	100	159	485	0	0	2573	174
8013222	1562	438	0	0	0	0	2155	0	0	0	0	0	0	88	348	0	0	3327	0
8013912	1103	0	0	462	0	0	0	0	0	0	0	0	70	0	0	0	0	2732	191
8014573	933	0	6481	0	0	0	6136	0	0	1577	0	0	881	0	0	0	0	901	451
8014964	1425	313	2990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2657	0
8015127	419	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	883	63
8016470	15722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35476	30571	0
