Sample	SBS1	SBS29	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
TCGA-55-A48Y-01A-11D-A24D-08	22	0	0	0	0	0	0	0	0	169	0	0	0	70	185
TCGA-55-A490-01A-11D-A24D-08	12	0	0	0	0	0	0	0	0	68	1163	0	0	296	56
TCGA-55-A492-01A-11D-A24D-08	10	0	0	0	0	0	0	0	0	0	190	0	0	154	0
TCGA-55-A493-01A-11D-A24D-08	11	0	0	0	0	0	0	0	0	33	153	0	0	83	52
TCGA-55-A494-01A-11D-A24P-08	33	0	0	0	0	0	0	0	0	0	152	0	0	96	0
TCGA-55-A4DF-01A-11D-A24D-08	10	0	0	0	0	0	0	0	0	318	0	0	0	357	273
TCGA-62-8399-01A-21D-2323-08	18	0	0	0	0	0	0	0	0	145	0	0	0	289	94
TCGA-62-A46O-01A-11D-A24D-08	16	0	0	0	0	0	0	0	0	80	602	0	0	281	78
TCGA-62-A46P-01A-11D-A24D-08	14	0	0	0	0	0	0	0	0	0	238	0	0	91	0
TCGA-64-1676-01A-01D-0969-08	14	0	0	0	0	0	0	0	0	0	524	0	0	190	0
TCGA-64-5775-01A-01D-1625-08	12	0	0	0	0	0	0	0	0	0	378	0	0	168	0
TCGA-64-5779-01A-01D-1625-08	12	0	0	0	0	0	0	0	0	0	244	0	0	133	0
TCGA-67-6217-01A-11D-1753-08	17	0	0	177	0	0	0	0	0	0	0	0	0	0	0
TCGA-69-7973-01A-11D-2184-08	14	0	0	0	0	0	0	0	0	0	200	0	0	71	0
TCGA-69-7974-01A-11D-2184-08	14	0	0	0	0	0	0	0	0	25	365	0	0	204	0
TCGA-69-7979-01A-11D-2184-08	16	0	0	0	0	0	0	0	0	0	1347	0	0	371	0
TCGA-69-A59K-01A-11D-A25L-08	33	0	0	0	0	0	0	0	0	22	451	0	0	81	30
TCGA-73-4670-01A-01D-1265-08	11	0	0	239	0	0	0	0	0	0	0	0	0	109	0
TCGA-75-6214-01A-41D-1945-08	10	0	0	0	0	0	0	0	0	106	418	0	0	250	94
TCGA-78-7154-01A-11D-2036-08	26	0	0	0	0	0	0	0	0	63	0	0	0	183	59
TCGA-78-7159-01A-11D-2036-08	14	0	0	0	0	0	0	0	0	0	228	0	0	114	0
TCGA-78-7161-01A-11D-2036-08	11	0	0	0	0	0	0	0	0	0	123	0	0	78	0
TCGA-78-7167-01A-11D-2063-08	11	0	0	0	0	0	0	0	0	23	0	0	0	76	19
TCGA-78-7536-01A-11D-2063-08	32	0	0	540	0	0	0	0	0	0	0	0	0	0	0
TCGA-78-7539-01A-11D-2063-08	11	0	0	0	0	0	0	0	0	203	0	0	0	279	113
