Sample	SBS1	SBS24	SBS29	SBS22	SBS3	SBS18	SBS31	SBS26	SBS40	SBS9	SBS19	SBS28	SBS6	SBS30	SBS14	SBS12	SBS4	SBS17a	SBS17b	SBS35	SBS16	SBS5
SP98863	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3869
SP98891	118	0	0	0	0	0	0	0	0	0	3055	0	0	0	0	5245	2719	0	0	0	0	6795
SP98885	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4851	2389	0	0	0	1770	6853
SP107050	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	6942
SP107052	17	0	732	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	6292
SP107060	51	0	1185	0	0	0	0	0	0	0	0	0	0	0	0	1807	0	0	0	0	0	7888
SP99279	140	0	0	1170	0	0	0	0	0	0	0	0	0	0	0	4974	0	0	0	0	0	7324
SP107068	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2298	0	0	0	0	0	6178
SP107071	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5057	0	0	0	2475	1663	9458
SP99003	157	0	0	0	0	0	0	0	4440	0	0	0	352	0	0	2170	1453	0	0	0	0	3593
SP107076	147	0	0	0	0	0	0	0	13276	0	0	0	0	0	0	9795	0	0	1012	0	2565	5060
SP107078	65	0	578	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	3988
SP107080	256	0	0	0	0	0	0	0	7724	0	0	0	0	0	0	4325	0	0	0	0	1287	1455
SP107084	266	0	0	0	0	0	0	0	8225	0	0	0	0	0	0	2319	0	0	0	0	0	2594
SP107088	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	4339
SP107091	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488	1651	0	0	0	0	5919
SP107094	17	0	743	0	0	0	0	0	0	0	0	0	0	0	0	1279	0	0	0	0	0	5343
SP112224	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2145	1706	0	0	0	0	6833
SP107097	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	1560	0	0	0	0	5293
SP98900	203	0	570	0	0	0	0	0	2945	0	0	0	0	0	0	0	0	140	498	0	0	5352
SP107109	141	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4150
SP107111	257	0	0	0	0	0	0	0	5567	0	0	0	0	0	0	3421	0	0	0	2185	712	1568
SP107115	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431
SP98904	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971	0	0	0	0	0	6293
SP107121	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3044	17923
SP107123	15	0	1497	0	0	0	0	0	0	0	0	0	0	0	0	2701	0	0	0	0	0	6727
SP107136	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1789	2268	0	0	0	1230	8443
SP107141	65	0	436	0	0	0	0	0	0	0	0	0	0	0	0	789	0	0	0	0	0	3419
SP98913	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2339	0	0	0	0	0	9812
SP107146	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2351	2736	0	0	0	0	7370
SP107150	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1714	1212	0	0	0	0	5857
SP107152	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2893	2372	0	0	0	0	8003
SP98921	57	0	943	0	0	0	0	0	0	0	0	0	0	0	0	3027	0	0	0	0	0	5817
SP112130	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2450	1568	0	0	0	0	4960
SP98925	242	0	0	0	0	0	0	0	1892	0	0	0	0	0	0	0	0	0	0	0	0	3684
SP112138	164	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5525
SP112147	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1981	0	0	0	0	0	8501
SP112152	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	6764
SP112156	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1964	0	0	0	0	0	7305
SP98933	83	0	993	0	0	0	0	0	0	0	0	0	0	0	0	2767	0	0	0	0	0	7764
SP112160	26	0	1436	0	0	0	0	0	0	0	0	0	0	0	0	2414	0	0	0	0	0	6919
SP112165	117	0	930	0	0	0	0	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	5739
SP112168	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3998	3264	0	0	0	0	11096
SP98941	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2319	6063	0	0	0	0	10936
SP112170	44	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	3144	3307	0	0	0	0	10204
SP112174	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	0	4801
SP98945	98	0	0	0	0	0	0	0	2476	0	0	0	0	0	0	1680	0	0	0	0	0	1107
SP112182	51	0	1281	0	0	0	0	0	0	0	0	0	0	0	0	2536	0	0	0	0	0	6199
SP98953	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	2921	0	0	0	0	9251
SP98955	85	0	0	0	0	0	0	0	9069	0	0	0	0	0	0	3181	2017	0	0	0	0	7024
SP112188	53	0	0	0	0	0	0	0	0	0	11975	0	0	0	0	0	0	0	0	0	0	8585
SP98959	32	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5681
SP112198	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2164	1776	0	0	0	960	5530
SP98965	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1672	2500	0	0	0	0	7568
SP112205	25	0	1027	0	0	0	0	0	0	0	0	0	0	0	0	2274	0	0	0	0	0	8670
SP98967	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1275	0	0	0	0	4803
SP112210	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2771	0	0	0	0	0	11816
SP112211	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2962	0	0	0	0	0	12954
SP112213	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3867	3663	0	0	0	0	8623
SP50097	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4748	0	0	0	7231	0	9932
SP112217	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4077	3736	0	0	0	0	9830
SP112228	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2473	0	0	0	0	880	8342
SP98981	120	0	0	0	0	0	0	0	3643	0	0	0	0	0	0	1339	0	0	0	0	0	2452
SP112234	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5520	3526	0	0	0	0	10188
SP112237	22	0	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6104
SP98989	86	0	0	0	0	1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3867
SP112245	152	0	0	0	0	0	0	0	2275	0	0	0	0	0	0	1069	0	0	0	0	0	2016
SP98991	29	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873
SP112248	272	0	0	0	0	0	0	0	4840	0	0	0	0	0	0	3327	0	0	0	0	1584	2070
SP99001	11	0	990	0	0	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	5290
SP112257	29	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124
