Sample	SBS1	SBS3	SBS18	SBS26	SBS40	SBS13	SBS8	SBS41	SBS35	SBS5	SBS39	SBS2
SP60842	479	6691	0	0	0	500	0	0	0	1375	0	537
AOCS-002-1-X	177	0	0	0	694	0	0	0	0	644	0	0
AOCS-076-1-3	627	0	0	0	3484	0	0	0	0	2036	0	0
AOCS-091-3-0	473	9354	0	0	0	0	0	0	0	1548	0	0
AOCS-122-1-4	527	3775	0	0	4760	0	0	0	0	546	0	0
AOCS-123-1-7	451	0	0	0	1894	0	0	0	0	697	0	0
AOCS-124-1-X	761	0	0	0	2799	0	0	0	0	1456	0	0
AOCS-125-1-2	377	3027	0	0	1826	0	1725	0	0	1383	0	0
AOCS-126-1-5	268	0	0	0	3352	0	0	0	0	866	1241	0
AOCS-130-1-0	547	0	0	0	4003	502	0	0	0	1853	0	18
AOCS-131-1-3	392	0	0	0	6244	797	0	0	0	714	0	279
AOCS-132-1-6	417	0	0	0	1425	0	0	0	0	804	0	0
AOCS-133-1-9	985	0	0	0	3707	0	0	0	0	1011	0	0
AOCS-135-3-1	1016	0	0	0	13058	0	0	0	0	2015	0	0
AOCS-137-1-X	618	0	0	0	7626	0	0	0	0	1782	2085	0
AOCS-143-1-0	281	1631	0	0	0	0	1048	0	0	1408	0	0
AOCS-144-1-3	316	0	0	0	2224	371	1195	0	0	1372	0	106
AOCS-145-1-6	365	0	0	0	0	0	2665	0	0	4134	2577	0
AOCS-146-1-9	300	0	0	0	4226	0	0	0	0	1060	1307	0
AOCS-147-1-1	608	0	0	0	8145	1648	0	0	0	2367	0	1056
AOCS-148-1-4	382	2378	0	0	3188	0	0	0	0	643	0	0
AOCS-149-1-7	640	7840	0	0	0	349	0	0	0	3068	0	202
AOCS-152-1-X	527	0	0	0	6413	0	0	0	0	656	1264	0
