Sample	SBS10a	SBS1	SBS36	SBS21	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS14	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-MX-A5UJ-01A-11D-A31L-08	0	651	0	0	0	0	0	210	0	0	0	0	0	0	0	0	691	0
TCGA-R5-A7O7-01A-11D-A33T-08	0	43	0	0	0	50	0	0	0	0	0	0	0	0	0	0	50	0
TCGA-R5-A7ZE-01B-11D-A34U-08	0	46	0	0	0	0	0	0	0	0	0	0	0	10	22	0	127	0
TCGA-R5-A7ZF-01A-11D-A34U-08	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
TCGA-R5-A7ZI-01A-11D-A34U-08	0	291	0	0	0	0	124	150	0	0	0	0	0	0	0	0	379	0
TCGA-R5-A7ZR-01A-11D-A34U-08	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
TCGA-R5-A804-01A-11D-A364-08	0	34	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-R5-A805-01A-11D-A364-08	0	29	0	0	0	0	0	0	0	0	0	0	0	20	60	0	49	0
TCGA-RD-A7BS-01A-11D-A32N-08	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
TCGA-RD-A7BT-01A-11D-A33T-08	0	19	0	0	0	0	0	0	0	0	0	0	0	26	104	0	137	0
TCGA-RD-A7C1-01A-11D-A32N-08	0	122	0	0	0	0	0	0	0	0	0	0	0	15	27	0	172	0
TCGA-RD-A8N5-01A-12D-A364-08	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
TCGA-RD-A8N6-01A-11D-A364-08	0	63	0	0	0	0	0	0	0	0	0	11	0	0	0	0	112	0
TCGA-RD-A8N9-01A-12D-A397-08	0	57	0	0	0	47	0	0	0	0	0	0	0	0	0	0	47	0
TCGA-RD-A8NB-01A-12D-A397-08	0	150	0	0	0	0	124	0	0	0	208	0	0	0	0	0	255	0
TCGA-SW-A7EA-01A-12D-A34U-08	0	103	0	0	0	0	81	0	0	0	186	0	0	0	0	0	324	0
TCGA-VQ-A8DT-01A-11D-A364-08	0	54	0	0	0	0	0	0	0	0	0	0	0	12	32	0	130	0
TCGA-VQ-A8DU-01A-11D-A364-08	0	45	0	0	0	47	0	0	0	0	0	0	0	15	38	0	30	0
TCGA-VQ-A8E2-01A-11D-A364-08	0	36	0	0	0	0	0	0	0	0	0	0	0	0	16	0	91	0
TCGA-VQ-A8E3-01A-11D-A397-08	0	282	0	0	0	0	154	0	0	0	0	0	0	0	0	0	247	0
TCGA-VQ-A8E7-01B-11D-A410-08	0	68	0	0	0	63	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-VQ-A8P2-01A-11D-A364-08	0	614	0	0	0	0	0	0	0	0	4187	0	1769	0	0	0	2457	0
TCGA-VQ-A8P3-01A-11D-A364-08	0	39	0	0	0	0	0	0	0	0	0	0	0	84	169	0	67	0
TCGA-VQ-A8P5-01A-11D-A397-08	0	56	0	0	0	71	0	41	0	0	0	10	0	0	47	0	10	20
TCGA-VQ-A8P8-01A-11D-A397-08	0	70	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A8PB-01A-11D-A397-08	0	408	0	0	0	0	110	0	0	0	0	0	0	0	0	0	380	0
TCGA-VQ-A8PC-01A-11D-A397-08	0	22	0	0	0	0	0	0	0	0	0	0	0	12	31	0	96	0
TCGA-VQ-A8PD-01A-11D-A410-08	0	55	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A8PE-01A-11D-A410-08	0	51	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A8PF-01A-11D-A410-08	0	39	0	0	0	0	0	0	0	0	0	0	0	0	15	0	72	0
TCGA-VQ-A8PJ-01A-11D-A410-08	0	19	0	0	0	0	0	0	0	0	0	0	0	21	39	0	92	0
TCGA-VQ-A8PO-01A-11D-A410-08	0	227	0	0	0	0	199	0	0	0	0	0	0	0	0	0	308	0
TCGA-VQ-A8PP-01A-21D-A410-08	0	375	0	0	0	0	196	239	0	0	0	0	0	0	0	0	534	0
TCGA-VQ-A8PT-01A-11D-A410-08	0	353	0	0	0	0	212	321	0	0	0	0	0	0	0	0	566	0
TCGA-VQ-A8PX-01A-12D-A410-08	0	94	0	0	0	0	0	134	0	0	0	0	0	0	0	0	315	0
TCGA-VQ-A8PZ-01A-11D-A410-08	0	60	0	0	0	25	0	0	0	0	0	0	0	0	0	0	22	0
TCGA-VQ-A91A-01A-11D-A410-08	0	55	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-A91D-01A-11D-A410-08	0	906	0	0	0	0	0	514	0	0	0	0	0	0	0	0	1229	0
TCGA-VQ-A91E-01A-31D-A410-08	0	253	0	0	0	0	112	0	0	0	0	0	0	0	0	0	340	0
TCGA-VQ-A91K-01A-11D-A410-08	0	605	0	0	0	0	184	0	0	0	0	0	0	0	0	0	694	0
TCGA-VQ-A91N-01A-11D-A410-08	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
TCGA-VQ-A91S-01A-11D-A410-08	0	21	0	0	0	106	0	0	0	0	0	31	0	13	69	0	44	28
TCGA-VQ-A91U-01A-11D-A410-08	0	76	0	0	0	101	0	0	0	0	0	0	0	0	0	0	13	0
TCGA-VQ-A91V-01A-11D-A410-08	0	32	0	0	0	0	0	0	0	0	0	0	0	26	140	0	101	0
TCGA-VQ-A91X-01A-12D-A410-08	0	27	0	0	0	0	0	23	0	0	0	0	0	28	55	0	123	0
TCGA-VQ-A91Y-01A-11D-A410-08	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
TCGA-VQ-A91Z-01A-11D-A410-08	0	45	0	0	0	65	0	0	0	0	0	0	0	0	0	0	44	0
TCGA-VQ-A922-01A-11D-A410-08	0	22	0	0	0	0	0	0	0	0	0	0	0	0	26	0	136	13
TCGA-VQ-A923-01A-11D-A410-08	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
TCGA-VQ-A924-01A-11D-A410-08	0	433	0	0	0	0	379	0	0	0	0	0	0	0	0	0	525	0
TCGA-VQ-A925-01A-11D-A410-08	0	15	0	0	0	44	0	0	0	0	0	0	0	0	16	0	52	16
TCGA-VQ-A92D-01A-11D-A410-08	0	35	0	0	0	75	0	0	0	0	0	0	0	0	0	0	47	0
TCGA-VQ-A94P-01A-13D-A410-08	0	16	0	0	0	0	0	0	0	0	0	0	0	18	39	0	28	0
TCGA-VQ-A94R-01A-11D-A410-08	0	63	0	0	0	0	0	0	0	0	0	0	0	0	34	0	231	34
TCGA-VQ-A94U-01A-12D-A410-08	0	67	0	0	0	76	0	0	0	0	0	0	0	0	13	0	32	0
TCGA-VQ-AA64-01A-11D-A410-08	0	28	0	0	0	195	0	0	0	0	0	46	0	0	10	0	15	10
TCGA-VQ-AA68-01A-11D-A410-08	0	42	0	0	0	0	0	0	0	0	0	0	0	34	39	0	93	0
TCGA-VQ-AA69-01A-11D-A410-08	0	39	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VQ-AA6A-01A-11D-A410-08	0	32	0	0	0	0	0	0	0	0	0	0	0	0	16	0	73	0
TCGA-VQ-AA6B-01A-11D-A410-08	0	36	0	0	0	48	0	0	0	0	0	0	0	0	0	0	16	0
TCGA-VQ-AA6G-01A-11D-A410-08	0	63	0	0	0	46	0	0	0	0	0	0	0	0	14	0	42	0
TCGA-VQ-AA6J-01A-11D-A410-08	0	47	0	0	0	81	0	0	0	0	0	0	0	12	38	0	0	0
GC8_T	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332	0
GC7_T	0	32	0	0	0	0	0	0	0	0	0	12	0	0	0	0	89	27
pfg011T	0	31	0	0	0	0	0	0	0	0	0	0	0	0	24	0	54	0
pfg014T	0	50	0	0	0	0	0	0	0	0	0	0	0	11	0	0	107	0
pfg015T	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
pfg016T	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	350	243	0
pfg017T	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
pfg019T	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0
pfg029T	0	63	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0
31231321	0	21	0	0	0	0	0	0	0	0	0	0	0	0	12	0	45	0
GC_296T1-GC_296N	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0
GC_299T1-GC_299N	0	49	0	0	0	0	0	0	0	0	0	0	0	11	0	0	144	0
GC_307T-GC_307N	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0
GC_313T-GC_313N	0	48	0	0	0	0	0	0	0	0	0	0	0	16	48	0	239	0
GC_315T-GC_315N	0	21	0	0	0	0	0	0	0	0	0	0	0	49	101	0	200	0
GC_319T-GC_319N	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
GC_337T-GC_337N	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
GC_353T-GC_353N	0	24	0	0	0	0	0	0	0	0	0	0	0	20	115	0	195	0
GC_356T-GC_356N	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
GC_357T-GC_357N	0	35	0	0	135	0	0	0	0	0	0	0	0	0	0	0	129	0
76629543	0	33	0	0	0	0	0	0	0	0	0	0	0	0	11	0	77	0
990515	0	17	0	0	0	0	0	0	0	0	0	0	0	0	25	0	55	0
TWH	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
D-01	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
D-05	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
D-07	0	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
I-02	0	24	0	0	0	0	0	0	0	0	0	0	0	16	19	0	44	0
TCGA-BR-4184-01A-01D-1126-08	0	0	0	0	0	0	0	4078	0	0	0	0	0	0	0	0	138	0
TCGA-VQ-AA6D-01A-11D-A410-08	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	428	0
TCGA-BR-8589-01A-11D-2394-08	0	0	0	0	0	0	0	0	0	0	0	0	0	307	552	0	528	0
TCGA-VQ-A8PK-01A-12D-A410-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	56	0
