Sample	SBS10a	SBS1	SBS36	SBS21	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS14	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-BR-8285-01A-11D-2340-08	0	46	0	0	0	48	0	0	0	0	0	0	0	0	0	0	14	0
TCGA-BR-8286-01A-12D-2340-08	0	44	0	0	0	53	0	0	0	0	0	0	0	0	13	0	41	0
TCGA-BR-8289-01A-11D-2340-08	0	42	0	0	0	67	0	0	0	0	0	0	0	16	40	0	77	0
TCGA-BR-8296-01A-11D-2340-08	0	47	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-8297-01A-12D-2340-08	0	49	0	0	0	0	0	0	0	0	0	0	0	37	67	0	136	0
TCGA-BR-8360-01A-11D-2340-08	0	303	0	0	0	0	0	239	0	0	0	0	0	0	0	0	473	0
TCGA-BR-8361-01A-11D-2340-08	0	603	0	0	0	0	0	208	0	0	0	0	0	0	0	0	952	0
TCGA-BR-8363-01A-11D-2340-08	0	324	0	0	0	0	196	150	0	0	0	0	0	0	0	0	672	0
TCGA-BR-8366-01A-11D-2340-08	0	27	0	0	0	0	0	0	0	0	0	0	0	25	36	0	122	0
TCGA-BR-8367-01A-11D-2340-08	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
TCGA-BR-8368-01A-11D-2340-08	0	558	0	0	0	0	132	0	0	0	0	0	0	0	0	0	402	0
TCGA-BR-8369-01A-11D-2340-08	0	71	0	0	0	93	0	0	0	0	0	0	0	26	31	0	36	0
TCGA-BR-8370-01A-11D-2340-08	0	55	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-8372-01A-11D-2340-08	0	242	0	0	0	0	0	175	0	0	0	0	0	0	0	0	785	0
TCGA-BR-8380-01A-11D-2340-08	0	46	0	0	0	32	0	0	0	0	0	0	0	0	0	0	13	0
TCGA-BR-8382-01A-11D-2394-08	0	372	0	0	0	0	138	132	0	0	0	0	0	0	0	0	401	0
TCGA-BR-8483-01A-31D-2394-08	0	52	0	0	0	47	0	0	0	0	0	0	0	0	0	0	40	0
TCGA-BR-8485-01A-11D-2394-08	0	23	0	0	0	0	0	0	0	0	0	0	0	74	153	0	139	0
TCGA-BR-8487-01A-11D-2394-08	0	1096	0	0	0	0	732	0	0	0	0	0	0	0	0	0	1412	0
TCGA-BR-8588-01A-11D-2394-08	0	57	0	0	0	40	0	0	0	0	0	0	0	11	11	0	32	0
TCGA-BR-8590-01A-11D-2394-08	0	41	0	0	0	60	0	0	0	0	0	0	0	23	35	0	0	0
TCGA-BR-8591-01A-11D-2394-08	0	552	0	0	0	0	339	0	0	0	0	0	0	0	0	0	565	0
TCGA-BR-8678-01A-11D-2394-08	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	12
TCGA-BR-8679-01A-11D-2394-08	0	59	0	0	0	0	0	18	0	0	0	0	0	0	10	0	89	13
TCGA-BR-8683-01A-11D-2394-08	0	60	0	0	0	111	0	0	0	0	0	0	0	0	0	0	17	0
TCGA-BR-8686-01A-11D-2394-08	0	49	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	12
TCGA-BR-8687-01A-11D-2394-08	0	17	0	0	0	0	0	0	0	0	0	0	0	53	78	0	86	0
TCGA-BR-A44U-01A-11D-A24D-08	0	62	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A452-01A-91D-A25D-08	0	17	0	0	0	0	0	0	0	0	0	18	0	0	27	0	54	11
TCGA-BR-A4CQ-01A-12D-A25D-08	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
TCGA-BR-A4CS-01A-11D-A24D-08	0	62	0	0	0	115	0	0	0	0	0	0	0	0	0	0	19	0
TCGA-BR-A4IY-01A-11D-A25D-08	0	57	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4J2-01A-21D-A25D-08	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
TCGA-BR-A4J5-01A-21D-A25D-08	0	47	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4J7-01A-31D-A25D-08	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-BR-A4J8-01A-11D-A25D-08	0	49	0	0	0	35	0	0	0	0	0	0	0	0	0	0	22	10
TCGA-BR-A4PD-01A-11D-A25D-08	0	18	0	0	0	75	0	0	0	0	0	0	0	33	41	0	25	0
TCGA-BR-A4PE-01A-31D-A25D-08	0	94	0	0	0	130	0	0	0	0	0	0	0	0	16	0	10	0
TCGA-BR-A4PF-01A-11D-A25D-08	0	36	0	0	0	57	0	0	0	0	0	0	0	0	0	0	31	0
TCGA-BR-A4QI-01A-12D-A25D-08	0	43	0	0	0	61	0	0	0	0	0	0	0	13	0	0	20	10
TCGA-BR-A4QL-01A-31D-A25D-08	0	861	0	0	0	0	0	250	0	0	0	0	0	0	0	0	860	0
TCGA-BR-A4QM-01A-12D-A25D-08	0	35	0	0	0	0	0	0	0	0	0	0	0	12	0	0	72	0
TCGA-CD-5798-01A-11D-1600-08	0	35	0	0	0	45	0	0	0	0	0	0	0	0	0	0	33	0
TCGA-CD-5800-01A-11D-1600-08	0	65	0	0	0	45	0	0	0	0	0	0	0	0	0	0	63	30
TCGA-CD-5801-01A-11D-1600-08	0	43	0	0	0	97	0	0	0	105	0	0	0	50	68	0	180	0
TCGA-CD-5804-01A-12D-2053-08	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
TCGA-CD-5813-01A-11D-1600-08	0	52	0	0	0	107	0	0	0	0	0	0	0	0	0	0	65	0
TCGA-CD-8524-01A-11D-2340-08	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0
TCGA-CD-8527-01A-11D-2340-08	0	71	0	0	0	0	0	0	0	0	57	0	0	0	12	0	165	0
TCGA-CD-8528-01A-11D-2340-08	0	65	0	0	0	32	0	0	0	0	0	0	0	0	0	0	41	0
TCGA-CD-8530-01A-11D-2340-08	0	31	0	0	0	41	0	0	0	0	0	0	0	0	24	0	0	0
TCGA-CD-8531-01A-11D-2340-08	0	43	0	0	0	0	0	18	0	0	0	0	0	0	0	0	263	0
TCGA-CD-8533-01A-11D-2340-08	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
TCGA-CD-8534-01A-11D-2340-08	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10
TCGA-CD-8535-01A-11D-2340-08	0	37	0	0	0	0	0	0	0	0	0	0	0	46	55	0	179	21
TCGA-CD-8536-01A-11D-2340-08	0	386	0	0	0	0	155	108	0	0	0	0	0	0	0	0	329	0
TCGA-CD-A486-01A-11D-A24D-08	0	45	0	0	0	38	0	0	0	0	0	0	0	0	0	0	29	0
TCGA-CD-A487-01A-21D-A24D-08	0	29	0	0	0	0	0	0	0	0	0	0	0	12	44	0	107	16
TCGA-CD-A48A-01A-12D-A24D-08	0	57	0	0	0	0	0	0	0	0	0	0	0	28	49	0	143	14
TCGA-CD-A48C-01A-11D-A24D-08	0	53	0	0	0	0	0	0	0	0	0	0	0	20	47	0	138	11
TCGA-CD-A4MG-01A-11D-A25D-08	0	550	0	0	0	0	617	500	0	0	0	0	0	0	0	0	972	0
TCGA-CD-A4MH-01A-11D-A25D-08	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0
TCGA-CD-A4MI-01A-21D-A25D-08	0	289	0	0	0	0	221	134	0	0	0	0	0	0	0	0	474	0
TCGA-CD-A4MJ-01A-11D-A25D-08	0	239	0	0	0	0	123	77	0	0	0	0	0	0	0	0	292	0
TCGA-CG-4300-01A-01D-1158-08	0	49	0	0	0	0	0	0	0	0	0	0	0	0	13	0	97	0
TCGA-CG-4305-01A-01D-1158-08	0	272	0	0	0	0	222	0	0	0	307	0	0	0	0	0	524	0
TCGA-CG-4306-01A-01D-1158-08	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0
TCGA-CG-4436-01A-01D-1158-08	0	65	0	0	0	76	0	0	0	0	0	0	0	15	46	0	22	0
TCGA-CG-4437-01A-01D-1800-08	0	96	0	0	0	391	0	0	0	0	0	28	0	0	0	0	132	0
TCGA-CG-4438-01A-01D-1158-08	0	30	0	0	0	0	0	0	0	0	0	18	0	0	0	0	115	0
TCGA-CG-4441-01A-01D-1800-08	0	39	0	0	0	0	0	0	0	0	0	0	0	0	18	0	76	0
TCGA-CG-4444-01A-01D-1158-08	0	39	0	0	0	84	0	0	0	0	0	0	0	21	69	0	13	0
TCGA-CG-4462-01A-01D-1158-08	0	42	0	0	0	0	0	0	0	0	0	0	0	0	10	0	45	0
TCGA-CG-4465-01A-01D-1158-08	0	119	0	0	0	0	140	116	0	0	0	0	0	0	0	0	260	0
TCGA-CG-4466-01A-01D-1158-08	0	54	0	0	0	126	0	0	0	0	0	0	0	0	67	0	0	0
TCGA-CG-4469-01A-01D-1158-08	0	70	0	0	0	0	0	0	0	0	0	0	0	25	98	0	191	0
TCGA-CG-4476-01A-01D-1158-08	0	34	0	0	0	78	0	0	0	0	0	0	0	0	0	0	17	10
TCGA-CG-5718-01A-11D-1600-08	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
TCGA-CG-5719-01A-11D-1600-08	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
TCGA-CG-5720-01A-11D-1600-08	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
TCGA-CG-5721-01A-11D-1600-08	0	976	0	2680	0	0	0	0	0	0	0	0	0	0	0	0	1343	0
TCGA-CG-5722-01A-21D-1600-08	0	38	0	0	0	47	0	0	0	0	0	0	0	0	0	0	20	0
TCGA-CG-5723-01A-11D-1600-08	0	481	0	0	0	0	0	405	0	0	0	0	0	0	0	0	1002	0
TCGA-CG-5726-01A-11D-1600-08	0	324	0	0	0	0	0	407	0	0	0	0	0	0	0	0	721	0
TCGA-CG-5727-01A-11D-1600-08	0	70	0	0	0	93	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-CG-5728-01A-11D-1600-08	0	547	0	0	0	0	186	178	0	0	0	0	0	0	0	0	648	0
TCGA-CG-5730-01A-11D-1600-08	0	68	0	0	0	57	0	0	0	0	0	0	0	0	0	0	47	27
TCGA-CG-5733-01A-11D-1600-08	0	347	0	0	0	0	183	111	0	0	0	0	0	0	0	0	560	0
TCGA-CG-5734-01A-11D-1600-08	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
TCGA-D7-5577-01A-01D-1600-08	0	35	0	0	0	55	0	0	0	0	0	0	0	0	0	0	48	0
TCGA-D7-5578-01A-01D-1600-08	0	84	0	0	0	0	0	0	0	0	0	20	0	11	47	0	120	12
