Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS9	SBS37	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS39	SBS2
PD18756a	315	0	0	0	264	0	0	0	0	121	34	0	0	0	0	0	845	0	46
PD18768a	316	0	564	0	215	0	0	0	0	0	27	0	0	0	0	0	1343	0	73
PD18769a	147	0	0	0	0	0	0	0	0	0	1197	0	0	0	0	0	1065	0	561
PD18771a	249	0	0	0	135	0	0	0	0	84	0	0	0	0	0	0	1298	0	0
PD18775a	220	58	403	0	0	0	0	0	0	0	15	0	0	0	0	0	557	0	65
PD18776a	251	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	1200	0	0
PD22036a	126	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	766	0	0
PD22251a	267	67	388	0	0	0	0	0	0	0	15	0	0	0	0	0	717	0	49
PD22355a	679	0	7313	0	0	0	0	0	0	0	301	0	0	0	0	0	1197	0	133
PD22356a	109	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0
PD22357a	457	0	0	0	0	0	0	0	0	0	2417	0	0	0	0	0	2735	0	2072
PD22358a	215	0	4162	0	0	0	0	0	0	0	783	0	0	0	0	0	674	0	220
PD22359a	239	0	422	0	166	0	0	0	0	0	26	0	0	0	0	0	772	0	186
PD22360a	168	0	0	0	0	0	0	0	0	0	605	0	0	2393	693	0	2098	2164	264
PD22361a	432	0	0	0	0	0	0	0	0	0	2052	0	0	0	0	0	1954	0	1422
PD22362a	140	91	0	0	335	0	0	0	0	161	121	0	0	0	0	0	827	0	250
PD22363a	371	0	6792	0	0	0	0	0	0	0	227	0	0	0	0	0	1134	0	196
PD22364a	395	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	1248	0	418
PD22365a	151	86	754	0	218	0	0	0	0	0	0	0	0	0	0	0	673	0	0
PD22366a	344	0	5682	0	631	0	0	0	0	0	1274	0	0	0	0	0	1097	0	575
PD23550a	329	0	0	0	325	0	0	0	0	234	166	0	0	0	0	0	1442	0	352
PD23552a	333	0	0	0	0	0	0	0	0	0	4050	0	0	0	0	0	5625	0	3135
PD23554a	126	0	0	0	0	0	0	0	0	0	317	0	0	2259	357	0	1837	1793	109
PD23558a	470	322	6799	0	0	0	0	0	0	0	577	0	0	0	0	0	1316	0	461
PD23559a	349	186	2641	0	0	0	0	0	0	0	359	0	0	0	0	0	1550	0	215
PD23560a	273	0	1297	0	0	0	0	0	0	0	317	0	0	0	0	0	833	0	249
PD23561a	1529	0	0	0	0	0	0	0	0	0	27218	0	0	0	0	0	11572	0	17562
PD23562a	392	0	4730	0	0	0	0	0	0	0	570	0	0	0	0	0	1397	0	162
PD23563a	304	224	6471	0	0	0	0	0	0	0	219	0	0	0	0	0	749	0	123
PD23564a	21538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32948	28575	0	0
PD23565a	749	0	0	0	0	0	0	0	0	0	2553	0	0	0	0	0	3134	0	2356
PD23566a	375	0	5399	0	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0
PD23567a	435	0	5334	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	0	0
PD23568a	370	410	0	0	678	0	0	0	0	0	502	291	1392	0	0	0	2927	0	173
PD23569a	50	0	424	0	88	0	0	0	0	0	28	0	0	0	154	0	271	0	34
PD23570a	200	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	1148	0	544
PD23574a	456	0	8675	0	0	0	0	0	0	0	2007	0	0	0	0	0	1059	0	738
PD23575a	24	22	0	0	0	0	0	0	0	0	44	0	0	417	0	0	241	290	20
PD23577a	231	0	2403	0	0	0	0	0	0	0	126	0	0	0	0	0	1069	0	71
PD23578a	244	0	5113	0	0	0	0	0	0	0	222	0	0	0	0	0	1007	0	127
PD23579a	4523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44966	37459	0	0
PD24182a	357	0	5133	0	0	0	0	0	0	0	1750	0	0	0	0	0	1562	0	601
PD24183a	370	112	0	0	629	0	0	0	0	0	101	0	0	0	0	0	2007	0	114
